task_id,learner_id,rmse
Moneyball,ranger,24.2879141791004
Moneyball,rpart,36.4012756809403
Moneyball,xgboost,22.1840187568441
Moneyball,cv_glmnet,22.651386950865
abalone,ranger,2.13337057887804
abalone,rpart,2.40461507090046
abalone,xgboost,2.11883478095458
abalone,cv_glmnet,2.33076378622331
airfoil_self_noise,ranger,2.20396473011463
airfoil_self_noise,rpart,4.41465295817123
airfoil_self_noise,xgboost,1.17039662157661
airfoil_self_noise,cv_glmnet,4.93032468554943
auction_verification,ranger,2972.34787292301
auction_verification,rpart,3155.71863301622
auction_verification,xgboost,394.45408108532
auction_verification,cv_glmnet,6301.09682888416
concrete_compressive_strength,ranger,5.29274831386654
concrete_compressive_strength,rpart,9.00648293395511
concrete_compressive_strength,xgboost,3.71673639674248
concrete_compressive_strength,cv_glmnet,10.7527535242512
energy_efficiency,ranger,1.0822655867037
energy_efficiency,rpart,2.57523001594502
energy_efficiency,xgboost,0.28049427536313
energy_efficiency,cv_glmnet,3.29890596747628
forest_fires,ranger,50.3778234403682
forest_fires,rpart,61.1293252465479
forest_fires,xgboost,48.3007651192211
forest_fires,cv_glmnet,46.0199571584495
physiochemical_protein,ranger,3.45642786147821
physiochemical_protein,rpart,5.42251433508302
physiochemical_protein,xgboost,3.32636333987221
physiochemical_protein,cv_glmnet,5.23275460546392
superconductivity,ranger,9.14933031667991
superconductivity,rpart,17.9616679729491
superconductivity,xgboost,9.01162279050993
superconductivity,cv_glmnet,19.0199166852068
geographical_origin_of_music,ranger,15.6780951833357
geographical_origin_of_music,rpart,18.0974756503956
geographical_origin_of_music,xgboost,15.195437169095
geographical_origin_of_music,cv_glmnet,17.114180978704
solar_flare,ranger,0.800462880510945
solar_flare,rpart,0.792112968611258
solar_flare,xgboost,0.762724282562298
solar_flare,cv_glmnet,0.810667858730254
student_performance_por,ranger,2.6387680341084
student_performance_por,rpart,2.88982922247074
student_performance_por,xgboost,2.67597888150525
student_performance_por,cv_glmnet,2.84462304084839
naval_propulsion_plant,ranger,0.00112988026412205
naval_propulsion_plant,rpart,0.00773402716173197
naval_propulsion_plant,xgboost,0.000780174023796584
naval_propulsion_plant,cv_glmnet,0.0108005973590943
QSAR_fish_toxicity,ranger,0.861759053659216
QSAR_fish_toxicity,rpart,1.02863935756176
QSAR_fish_toxicity,xgboost,0.864701537159926
QSAR_fish_toxicity,cv_glmnet,0.986564186795807
white_wine,ranger,0.59370840033105
white_wine,rpart,0.76135831060504
white_wine,xgboost,0.569328569654126
white_wine,cv_glmnet,0.763968056953156
red_wine,ranger,0.561476655448437
red_wine,rpart,0.682828272714823
red_wine,xgboost,0.547376801705197
red_wine,cv_glmnet,0.664722158047176
grid_stability,ranger,0.0128009915341828
grid_stability,rpart,0.026782600837068
grid_stability,xgboost,0.00744118721851852
grid_stability,cv_glmnet,0.0221216084515304
video_transcoding,ranger,3.37611036619107
video_transcoding,rpart,7.06844486256624
video_transcoding,xgboost,0.783594308000314
video_transcoding,cv_glmnet,11.1537868429332
wave_energy,ranger,45365.1054053064
wave_energy,rpart,92263.3054707003
wave_energy,xgboost,4979.31213264582
wave_energy,cv_glmnet,4208.54038857781
sarcos,ranger,2.92040716290858
sarcos,rpart,11.2246753989929
sarcos,xgboost,2.14042129347318
sarcos,cv_glmnet,6.28791844692634
california_housing,ranger,50502.5009076239
california_housing,rpart,78094.8146425449
california_housing,xgboost,44648.6258453526
california_housing,cv_glmnet,72477.4407806756
cpu_activity,ranger,2.46171715176561
cpu_activity,rpart,4.76736017768723
cpu_activity,xgboost,2.19019791752051
cpu_activity,cv_glmnet,9.98494522831369
diamonds,ranger,540.661218229981
diamonds,rpart,1311.49869186501
diamonds,xgboost,521.738682579464
diamonds,cv_glmnet,1335.40385502996
kin8nm,ranger,0.145291747252465
kin8nm,rpart,0.216016795402405
kin8nm,xgboost,0.10926978261434
kin8nm,cv_glmnet,0.203401590791219
pumadyn32nh,ranger,0.0262151320965847
pumadyn32nh,rpart,0.0242400458676095
pumadyn32nh,xgboost,0.0217654834384008
pumadyn32nh,cv_glmnet,0.033226284419868
miami_housing,ranger,92572.4158959404
miami_housing,rpart,172639.644331224
miami_housing,xgboost,81566.790797826
miami_housing,cv_glmnet,180325.727518928
cps88wages,ranger,383.030565345188
cps88wages,rpart,402.742102427024
cps88wages,xgboost,380.096212675652
cps88wages,cv_glmnet,412.07214471804
space_ga,ranger,0.115155988108676
space_ga,rpart,0.140031124559428
space_ga,xgboost,0.104931657279933
space_ga,cv_glmnet,0.153529287955923
socmob,ranger,19.0200897475911
socmob,rpart,22.7358002231112
socmob,xgboost,12.469812815217
socmob,cv_glmnet,29.0478739691534
kings_county,ranger,131461.660371787
kings_county,rpart,205074.722277826
kings_county,xgboost,114409.080422655
kings_county,cv_glmnet,165161.080145709
brazilian_houses,ranger,5878.03998155313
brazilian_houses,rpart,11494.8888582357
brazilian_houses,xgboost,4463.38068465859
brazilian_houses,cv_glmnet,4424.74826285633
fps_benchmark,ranger,33.6345518826738
fps_benchmark,rpart,23.3925430476795
fps_benchmark,xgboost,0.515229264050443
fps_benchmark,cv_glmnet,11.8910500262781
health_insurance,ranger,14.5287710045405
health_insurance,rpart,15.2393576816293
health_insurance,xgboost,14.3932834068045
health_insurance,cv_glmnet,15.0365871019613
cars,ranger,2486.15840827629
cars,rpart,3422.60610335208
cars,xgboost,2111.95381069133
cars,cv_glmnet,3080.37078250067
fifa,ranger,9290.91740039422
fifa,rpart,10297.5056776313
fifa,xgboost,8934.75412857757
fifa,cv_glmnet,15178.407789091
Moneyball,gam,20.909474867778
abalone,gam,2.12095954348217
airfoil_self_noise,gam,4.5886726844814
auction_verification,gam,6140.55560846057
concrete_compressive_strength,gam,9.63778292391672
energy_efficiency,gam,2.93492410585074
forest_fires,gam,48.8343965881879
physiochemical_protein,gam,4.95195081080378
superconductivity,gam,14.1486896785019
geographical_origin_of_music,gam,17.3363563929024
solar_flare,gam,0.766488257738029
student_performance_por,gam,2.74935039909648
naval_propulsion_plant,gam,0.000137424442700136
QSAR_fish_toxicity,gam,0.92356929718576
white_wine,gam,0.718319972340242
red_wine,gam,0.6508486217636
grid_stability,gam,0.0171106641143239
video_transcoding,gam,10.9299200915244
wave_energy,gam,94.3982479134239
sarcos,gam,4.72279923904336
california_housing,gam,61931.4268078018
cpu_activity,gam,2.71476780731259
diamonds,gam,2127.05498949756
kin8nm,gam,0.197483509064117
pumadyn32nh,gam,0.0330630800042959
miami_housing,gam,132846.000250769
cps88wages,gam,385.662711442109
space_ga,gam,0.105302315797084
socmob,gam,21.1968704304675
kings_county,gam,156043.453524673
brazilian_houses,gam,3216.89941631845
fps_benchmark,gam,11.6683832677684
health_insurance,gam,14.6580474697372
cars,gam,2935.23345781323
fifa,gam,9045.54994329408
